"Year","Lat","Lon","AreaSwept_km2","Response_variable","Data_type"
2009,30.286,-86.438,0.029277,0,"Biomass_KG"
2009,30.373,-86.436,0.043327,0,"Biomass_KG"
2009,30.312,-86.199,0.036814,0,"Biomass_KG"
2009,30.306,-86.198,0.037235,1895.1,"Biomass_KG"
2012,30.273,-86.207,0.034794,69.2,"Biomass_KG"
2011,30.256,-86.171,0.038706,0,"Biomass_KG"
2006,30.169,-88.829,0.050164,0,"Biomass_KG"
2006,30.104,-88.945,0.029817,0,"Biomass_KG"
2009,30.074,-88.818,0.040077,12.2,"Biomass_KG"
2009,30.07,-88.814,0.016957,0,"Biomass_KG"
2009,30.159,-88.853,0.041226,0,"Biomass_KG"
2008,30.084,-88.724,0.037235,0,"Biomass_KG"
2010,30.162,-88.636,0.033833,13.632,"Biomass_KG"
2010,30.152,-88.625,0.039339,854.38,"Biomass_KG"
2011,30.087,-88.637,0.035958,0,"Biomass_KG"
2011,30.113,-88.635,0.037917,0,"Biomass_KG"
2011,30.185,-88.638,0.037161,0,"Biomass_KG"
2006,30.11,-88.613,0.029711,296.67,"Biomass_KG"
2006,30.147,-88.776,0.035186,0,"Biomass_KG"
2006,30.15,-88.775,0.040237,26.521,"Biomass_KG"
2007,30.137,-88.688,0.036439,62.929,"Biomass_KG"
2009,30.124,-88.623,0.025677,2426.6,"Biomass_KG"
2009,30.121,-88.614,0.028548,0,"Biomass_KG"
2010,30.161,-88.696,0.037917,43.536,"Biomass_KG"
2010,30.089,-88.641,0.03092,1420.2,"Biomass_KG"
2014,30.108,-88.747,0.040237,620.82,"Biomass_KG"
2006,30.077,-88.427,0.02968,102.74,"Biomass_KG"
2006,30.118,-88.501,0.028676,0,"Biomass_KG"
2006,30.177,-88.436,0.0095694,68.85,"Biomass_KG"
2007,30.069,-88.433,0.016246,0,"Biomass_KG"
2007,30.082,-88.424,0.037899,0,"Biomass_KG"
2007,30.186,-88.452,0.014393,28.881,"Biomass_KG"
2007,30.211,-88.591,0.01367,0,"Biomass_KG"
2009,30.106,-88.518,0.033941,0,"Biomass_KG"
2007,30.146,-88.472,0.013533,0,"Biomass_KG"
2011,30.167,-88.559,0.029214,0,"Biomass_KG"
2011,30.061,-88.456,0.039455,0,"Biomass_KG"
2006,30.089,-88.598,0.025534,168.19,"Biomass_KG"
2007,30.077,-88.492,0.037917,2276.6,"Biomass_KG"
2009,30.116,-88.566,0.025173,894.78,"Biomass_KG"
2009,30.106,-88.498,0.021009,807.8,"Biomass_KG"
2009,30.108,-88.482,0.01543,0,"Biomass_KG"
2009,30.116,-88.589,0.03386,0,"Biomass_KG"
2012,30.079,-88.435,0.040712,51.905,"Biomass_KG"
2012,30.154,-88.583,0.040959,0,"Biomass_KG"
2014,30.191,-88.508,0.04204,0,"Biomass_KG"
2011,30.19,-88.591,0.040959,0,"Biomass_KG"
2009,30.138,-88.518,0.029804,0,"Biomass_KG"
2009,30.09,-88.585,0.030532,0,"Biomass_KG"
2009,30.064,-88.475,0.030622,0,"Biomass_KG"
2006,30.061,-88.411,0.029804,454.98,"Biomass_KG"
2006,30.192,-88.291,0.01116,0,"Biomass_KG"
2006,30.117,-88.374,0.016464,0,"Biomass_KG"
2006,30.112,-88.261,0.040802,379.35,"Biomass_KG"
2006,30.18,-88.255,0.028452,159.46,"Biomass_KG"
2007,30.125,-88.385,0.01218,6.166,"Biomass_KG"
2007,30.201,-88.256,0.021695,0,"Biomass_KG"
2009,30.219,-88.272,0.020479,133.04,"Biomass_KG"
2009,30.228,-88.289,0.0082319,0,"Biomass_KG"
2009,30.192,-88.389,0.0095694,0,"Biomass_KG"
2009,30.164,-88.324,0.024397,428.1,"Biomass_KG"
2009,30.224,-88.271,0.0095694,0,"Biomass_KG"
2009,30.229,-88.287,0.0072878,0,"Biomass_KG"
2009,30.123,-88.276,0.032508,0,"Biomass_KG"
2009,30.147,-88.321,0.019139,0,"Biomass_KG"
2009,30.198,-88.39,0.014948,0,"Biomass_KG"
2007,30.179,-88.385,0.010826,107.73,"Biomass_KG"
2008,30.095,-88.251,0.059546,1405.2,"Biomass_KG"
2008,30.19,-88.313,0.016296,0,"Biomass_KG"
2008,30.146,-88.312,0.02842,0,"Biomass_KG"
2008,30.122,-88.279,0.028452,0,"Biomass_KG"
2008,30.175,-88.314,0.01218,10.216,"Biomass_KG"
2008,30.208,-88.298,0.013533,0,"Biomass_KG"
2008,30.227,-88.255,0.016296,0,"Biomass_KG"
2008,30.136,-88.311,0.023046,4.572,"Biomass_KG"
2008,30.172,-88.307,0.013601,0,"Biomass_KG"
2008,30.182,-88.307,0.010911,0,"Biomass_KG"
2008,30.137,-88.278,0.027066,0,"Biomass_KG"
2008,30.217,-88.3,0.01116,0,"Biomass_KG"
2008,30.226,-88.257,0.018995,0,"Biomass_KG"
2013,30.132,-88.364,0.029557,417.32,"Biomass_KG"
2010,30.176,-88.353,0.035134,0,"Biomass_KG"
2010,30.132,-88.382,0.030048,0,"Biomass_KG"
2010,30.133,-88.264,0.032168,0,"Biomass_KG"
2011,30.169,-88.347,0.025713,0,"Biomass_KG"
2011,30.149,-88.353,0.026588,0,"Biomass_KG"
2011,30.131,-88.377,0.032508,0,"Biomass_KG"
2010,30.153,-88.392,0.037161,0,"Biomass_KG"
2011,30.194,-88.27,0.038301,0,"Biomass_KG"
2014,30.192,-88.385,0.035831,11.855,"Biomass_KG"
2010,30.1,-88.26,0.036814,1107.1,"Biomass_KG"
2012,30.125,-88.266,0.039455,0,"Biomass_KG"
2012,30.079,-88.337,0.041403,0,"Biomass_KG"
2009,30.066,-88.408,0.031244,262.11,"Biomass_KG"
2006,30.11,-88.101,0.023006,0,"Biomass_KG"
2006,30.186,-88.143,0.031939,46.855,"Biomass_KG"
2007,30.073,-88.15,0.058196,12.252,"Biomass_KG"
2007,30.175,-88.075,0.0097302,0,"Biomass_KG"
2007,30.092,-88.184,0.04468,371.96,"Biomass_KG"
2007,30.234,-88.167,0.017593,0,"Biomass_KG"
2007,30.239,-88.216,0.0095694,0,"Biomass_KG"
2007,30.161,-88.209,0.032479,0,"Biomass_KG"
2007,30.153,-88.171,0.036564,0,"Biomass_KG"
2008,30.16,-88.071,0.010911,3.65,"Biomass_KG"
2008,30.065,-88.192,0.0094732,0,"Biomass_KG"
2008,30.16,-88.071,0.013533,0,"Biomass_KG"
2008,30.101,-88.126,0.01218,0,"Biomass_KG"
2008,30.096,-88.192,0.046092,0,"Biomass_KG"
2010,30.154,-88.146,0.032592,0,"Biomass_KG"
2014,30.21,-88.129,0.034076,0,"Biomass_KG"
2012,30.118,-88.206,0.040689,0,"Biomass_KG"
2008,30.147,-88.172,0.033941,145.07,"Biomass_KG"
2012,30.102,-88.154,0.026588,0,"Biomass_KG"
2012,30.106,-88.16,0.026691,1055.8,"Biomass_KG"
2010,30.221,-88.134,0.032592,0,"Biomass_KG"
2011,30.188,-88.153,0.038516,0,"Biomass_KG"
2010,30.144,-88.172,0.033941,624.14,"Biomass_KG"
2009,30.151,-88.158,0.027602,0,"Biomass_KG"
2006,30.196,-88.012,0.01513,0,"Biomass_KG"
2006,30.095,-88.015,0.023046,118.36,"Biomass_KG"
2008,30.156,-88.047,0.0042795,0,"Biomass_KG"
2008,30.155,-88.045,0.0019139,0,"Biomass_KG"
2009,30.187,-87.884,0.035186,0,"Biomass_KG"
2014,30.169,-88.028,0.031156,0,"Biomass_KG"
2010,30.089,-88.009,0.027866,292.84,"Biomass_KG"
2010,30.064,-88.06,0.029151,779.35,"Biomass_KG"
2011,30.128,-87.929,0.021053,0,"Biomass_KG"
2011,30.092,-88.012,0.029277,34.097,"Biomass_KG"
2014,30.08,-87.99,0.032508,54.527,"Biomass_KG"
2014,30.147,-87.934,0.040802,0,"Biomass_KG"
2008,30.064,-87.88,0.023006,0,"Biomass_KG"
2008,30.068,-87.823,0.040689,280.4,"Biomass_KG"
2009,30.068,-87.768,0.04468,40.456,"Biomass_KG"
2010,30.224,-87.711,0.037747,0,"Biomass_KG"
2011,30.192,-87.789,0.03386,267.77,"Biomass_KG"
2013,30.159,-87.84,0.033424,0,"Biomass_KG"
2011,30.111,-87.868,0.027402,0,"Biomass_KG"
2010,30.23,-87.717,0.028161,0,"Biomass_KG"
2009,30.146,-87.796,0.037235,0,"Biomass_KG"
2009,30.148,-87.74,0.041159,0,"Biomass_KG"
2012,30.184,-87.835,0.029804,0,"Biomass_KG"
2010,30.128,-87.839,0.033941,46.443,"Biomass_KG"
2010,30.092,-87.809,0.0356,223.34,"Biomass_KG"
2009,30.172,-87.769,0.03529,0,"Biomass_KG"
2009,30.136,-87.713,0.035134,40.766,"Biomass_KG"
2014,30.149,-87.822,0.040959,0,"Biomass_KG"
2011,30.169,-87.527,0.034076,0,"Biomass_KG"
2013,30.122,-87.569,0.030048,7.29,"Biomass_KG"
2013,30.1,-87.561,0.030532,3.868,"Biomass_KG"
2009,30.24,-87.564,0.042473,0,"Biomass_KG"
2009,30.123,-87.69,0.042795,0,"Biomass_KG"
2012,30.146,-87.529,0.027066,2823.7,"Biomass_KG"
2010,30.1,-87.639,0.026137,96.085,"Biomass_KG"
2010,30.08,-87.64,0.035186,615.54,"Biomass_KG"
2009,30.065,-87.689,0.03386,0,"Biomass_KG"
2009,30.22,-87.532,0.032508,0,"Biomass_KG"
2014,30.094,-87.611,0.039802,10.711,"Biomass_KG"
2008,30.139,-87.452,0.041159,0,"Biomass_KG"
2009,30.155,-87.387,0.032955,181.37,"Biomass_KG"
2010,30.202,-87.414,0.040599,0,"Biomass_KG"
2010,30.181,-87.515,0.033833,0,"Biomass_KG"
2011,30.134,-87.467,0.032168,9.091,"Biomass_KG"
2010,30.205,-87.419,0.035728,0,"Biomass_KG"
2009,30.194,-87.521,0.041093,0,"Biomass_KG"
2014,30.115,-87.356,0.041974,10.64,"Biomass_KG"
2011,30.088,-87.241,0.033941,0,"Biomass_KG"
2008,30.159,-87.23,0.038468,0,"Biomass_KG"
2010,30.111,-87.215,0.035212,21.93,"Biomass_KG"
2010,30.201,-87.235,0.034076,0,"Biomass_KG"
2010,30.223,-87.205,0.034503,0,"Biomass_KG"
2011,30.19,-87.312,0.030412,0,"Biomass_KG"
2011,30.098,-87.315,0.030412,0,"Biomass_KG"
2010,30.108,-87.218,0.035186,0,"Biomass_KG"
2012,30.191,-87.221,0.031593,7.842,"Biomass_KG"
2012,30.195,-87.309,0.029773,0,"Biomass_KG"
2014,30.189,-87.175,0.032282,33.978,"Biomass_KG"
2009,30.186,-87.254,0.029773,0,"Biomass_KG"
2009,30.136,-87.175,0.037747,0,"Biomass_KG"
2008,30.178,-87.095,0.042018,322.25,"Biomass_KG"
2009,30.136,-86.994,0.03445,52.67,"Biomass_KG"
2009,30.152,-87.083,0.044659,131.89,"Biomass_KG"
2010,30.191,-87.148,0.028452,0,"Biomass_KG"
2012,30.169,-87.021,0.028708,0,"Biomass_KG"
2012,30.14,-86.992,0.032536,0,"Biomass_KG"
2013,30.22,-87.042,0.039269,0,"Biomass_KG"
2013,30.216,-87.052,0.04169,0,"Biomass_KG"
2009,30.161,-87.124,0.032168,0,"Biomass_KG"
2008,30.131,-86.98,0.042495,23.878,"Biomass_KG"
2010,30.104,-86.879,0.031853,0,"Biomass_KG"
2012,30.147,-86.86,0.035212,0,"Biomass_KG"
2012,30.17,-86.967,0.03086,9.522,"Biomass_KG"
2012,30.2,-86.848,0.033424,64.37,"Biomass_KG"
2011,30.199,-86.821,0.034503,53.778,"Biomass_KG"
2009,30.148,-86.955,0.038753,0,"Biomass_KG"
2009,30.078,-86.934,0.038492,0,"Biomass_KG"
2013,30.137,-86.863,0.041953,0,"Biomass_KG"
2014,30.202,-86.88,0.042731,0,"Biomass_KG"
2008,30.105,-86.702,0.041159,128.03,"Biomass_KG"
2010,30.22,-86.802,0.039246,0,"Biomass_KG"
2011,30.202,-86.657,0.033941,0,"Biomass_KG"
2011,30.095,-86.713,0.038277,30.8,"Biomass_KG"
2010,30.075,-86.751,0.040599,0,"Biomass_KG"
2010,30.115,-86.777,0.040237,0,"Biomass_KG"
2014,30.219,-86.789,0.034263,0,"Biomass_KG"
2008,30.103,-86.481,0.042988,42.964,"Biomass_KG"
2009,30.103,-86.447,0.040077,0,"Biomass_KG"
2010,30.093,-86.561,0.039986,0,"Biomass_KG"
2009,30.112,-86.576,0.040599,0,"Biomass_KG"
2013,30.176,-86.474,0.030048,0,"Biomass_KG"
2013,30.101,-86.593,0.033941,0,"Biomass_KG"
2012,30.075,-86.52,0.03276,0,"Biomass_KG"
2010,30.165,-86.609,0.038516,0,"Biomass_KG"
2010,30.172,-86.469,0.035754,0,"Biomass_KG"
2009,30.184,-86.485,0.033833,0,"Biomass_KG"
2009,30.171,-86.456,0.03664,0,"Biomass_KG"
2009,30.08,-86.601,0.033914,0,"Biomass_KG"
2014,30.074,-86.572,0.04204,0,"Biomass_KG"
2013,30.239,-86.369,0.040802,0,"Biomass_KG"
2012,30.076,-86.278,0.035108,0,"Biomass_KG"
2012,30.183,-86.421,0.035523,0,"Biomass_KG"
2008,30.174,-86.217,0.043831,137.44,"Biomass_KG"
2012,30.096,-86.194,0.028161,0,"Biomass_KG"
2013,30.234,-86.187,0.038206,0,"Biomass_KG"
2012,30.227,-86.088,0.033479,0,"Biomass_KG"
2014,30.127,-86.042,0.031244,1056.1,"Biomass_KG"
2014,30.112,-85.981,0.029896,0,"Biomass_KG"
2009,30.185,-85.945,0.039525,191.53,"Biomass_KG"
2013,30.158,-85.952,0.035186,0,"Biomass_KG"
2013,30.084,-85.944,0.037626,0,"Biomass_KG"
2013,30.147,-85.944,0.037626,435.38,"Biomass_KG"
2012,30.091,-85.929,0.029804,0,"Biomass_KG"
2011,30.218,-85.967,0.037917,53.598,"Biomass_KG"
2011,30.105,-85.989,0.035523,0,"Biomass_KG"
2011,30.071,-86.014,0.036439,37.804,"Biomass_KG"
2010,30.142,-85.893,0.038277,14.474,"Biomass_KG"
2014,30.084,-85.843,0.029214,18.921,"Biomass_KG"
2013,30.063,-85.859,0.036111,0,"Biomass_KG"
2013,30.053,-89.004,0.038206,0,"Biomass_KG"
2008,30.037,-88.818,0.017645,0,"Biomass_KG"
2008,30.034,-88.808,0.013533,0,"Biomass_KG"
2006,29.992,-88.799,0.013601,0.39,"Biomass_KG"
2007,29.989,-88.793,0.018946,0,"Biomass_KG"
2007,30.056,-88.826,0.02842,0,"Biomass_KG"
2009,29.969,-88.798,0.013801,0,"Biomass_KG"
2009,29.965,-88.792,0.0203,4.201,"Biomass_KG"
2006,30.058,-88.763,0.034311,0,"Biomass_KG"
2008,29.902,-88.68,0.039246,0,"Biomass_KG"
2014,29.922,-88.678,0.039059,0,"Biomass_KG"
2007,29.887,-88.684,0.037989,0,"Biomass_KG"
2007,29.944,-88.647,0.03811,0,"Biomass_KG"
2007,29.956,-88.776,0.018995,0,"Biomass_KG"
2007,29.964,-88.643,0.041093,610.47,"Biomass_KG"
2009,29.965,-88.766,0.025713,2118.9,"Biomass_KG"
2009,29.961,-88.762,0.029557,0,"Biomass_KG"
2011,29.995,-88.689,0.034925,194.56,"Biomass_KG"
2009,29.909,-88.646,0.032168,0,"Biomass_KG"
2009,29.946,-88.617,0.033833,192.42,"Biomass_KG"
2009,30.011,-88.676,0.032928,18.391,"Biomass_KG"
2009,29.975,-88.682,0.036564,0,"Biomass_KG"
2009,29.939,-88.679,0.031593,197.72,"Biomass_KG"
2009,29.912,-88.657,0.032592,201.64,"Biomass_KG"
2009,29.998,-88.753,0.030682,0,"Biomass_KG"
2009,29.984,-88.717,0.028548,0,"Biomass_KG"
2006,30.003,-88.469,0.03664,26.54,"Biomass_KG"
2006,29.929,-88.534,0.038753,0,"Biomass_KG"
2009,30.033,-88.453,0.013601,0,"Biomass_KG"
2009,30.03,-88.46,0.016296,0,"Biomass_KG"
2013,29.909,-88.468,0.039455,40.066,"Biomass_KG"
2013,30.006,-88.471,0.030261,0,"Biomass_KG"
2008,30.041,-88.478,0.013601,0,"Biomass_KG"
2010,29.961,-88.496,0.032536,0,"Biomass_KG"
2010,29.906,-88.546,0.022319,0,"Biomass_KG"
2011,29.891,-88.429,0.038516,0,"Biomass_KG"
2007,29.97,-88.54,0.038468,303.39,"Biomass_KG"
2007,29.978,-88.548,0.036539,1289.7,"Biomass_KG"
2009,29.982,-88.525,0.037528,1596.7,"Biomass_KG"
2009,29.963,-88.498,0.035108,0,"Biomass_KG"
2009,30.028,-88.429,0.0178,174.17,"Biomass_KG"
2009,29.973,-88.477,0.042473,0,"Biomass_KG"
2009,30.031,-88.434,0.01543,0,"Biomass_KG"
2010,29.983,-88.601,0.034503,0,"Biomass_KG"
2012,29.984,-88.424,0.040712,0,"Biomass_KG"
2008,29.958,-88.438,0.03086,0,"Biomass_KG"
2012,29.951,-88.539,0.032508,322.69,"Biomass_KG"
2012,29.939,-88.436,0.031156,950.15,"Biomass_KG"
2009,30.024,-88.594,0.027235,0,"Biomass_KG"
2009,30.045,-88.449,0.037893,67.53,"Biomass_KG"
2006,29.979,-88.319,0.037431,1777.9,"Biomass_KG"
2006,30.06,-88.256,0.027066,0,"Biomass_KG"
2006,30.007,-88.351,0.014948,17.216,"Biomass_KG"
2006,30.025,-88.339,0.010911,0,"Biomass_KG"
2006,30.048,-88.243,0.030048,398.94,"Biomass_KG"
2006,30.034,-88.377,0.017645,0,"Biomass_KG"
2006,29.951,-88.336,0.059791,1226.4,"Biomass_KG"
2007,30.016,-88.321,0.021957,0,"Biomass_KG"
2006,29.983,-88.391,0.040615,0,"Biomass_KG"
2007,29.992,-88.297,0.050713,0,"Biomass_KG"
2009,30.047,-88.412,0.01624,0,"Biomass_KG"
2009,30.007,-88.297,0.017645,0,"Biomass_KG"
2009,29.952,-88.333,0.056904,293.59,"Biomass_KG"
2009,30.003,-88.258,0.010826,0,"Biomass_KG"
2007,30.003,-88.292,0.01624,874.97,"Biomass_KG"
2007,29.992,-88.355,0.039246,453.58,"Biomass_KG"
2008,29.946,-88.352,0.052797,0,"Biomass_KG"
2013,29.914,-88.35,0.037699,1498.5,"Biomass_KG"
2013,30.036,-88.333,0.028708,0,"Biomass_KG"
2010,30.011,-88.42,0.032955,92.375,"Biomass_KG"
2010,29.989,-88.369,0.035523,206.57,"Biomass_KG"
2010,29.919,-88.312,0.038301,0,"Biomass_KG"
2014,30.059,-88.349,0.035186,0,"Biomass_KG"
2012,29.936,-88.321,0.0271,0,"Biomass_KG"
2012,29.938,-88.331,0.038468,0,"Biomass_KG"
2012,29.95,-88.323,0.040599,1246.1,"Biomass_KG"
2009,30.048,-88.253,0.031593,70.476,"Biomass_KG"
2006,30.034,-88.227,0.060431,3428.5,"Biomass_KG"
2006,29.968,-88.216,0.039339,863.15,"Biomass_KG"
2006,29.979,-88.205,0.017645,0,"Biomass_KG"
2006,29.926,-88.225,0.06362,1670.7,"Biomass_KG"
2006,30.035,-88.173,0.031853,105.71,"Biomass_KG"
2007,30.009,-88.19,0.020311,157.29,"Biomass_KG"
2009,29.986,-88.212,0.012255,0,"Biomass_KG"
2009,29.928,-88.149,0.044659,0,"Biomass_KG"
2009,29.931,-88.151,0.048719,239.97,"Biomass_KG"
2009,30.017,-88.209,0.025713,138.74,"Biomass_KG"
2008,29.997,-88.207,0.023046,0,"Biomass_KG"
2013,29.942,-88.157,0.032592,1904.3,"Biomass_KG"
2014,30.018,-88.145,0.029804,158.5,"Biomass_KG"
2008,29.894,-88.146,0.03386,11962,"Biomass_KG"
2008,29.971,-88.164,0.024954,732,"Biomass_KG"
2008,29.989,-88.201,0.012477,33.212,"Biomass_KG"
2011,29.931,-88.14,0.037602,713.32,"Biomass_KG"
2014,29.991,-88.179,0.034076,260.16,"Biomass_KG"
2008,29.982,-88.206,0.031156,1258.7,"Biomass_KG"
2008,29.893,-88.076,0.030048,870.68,"Biomass_KG"
2008,30.043,-88.15,0.023283,83.478,"Biomass_KG"
2008,30.038,-88.209,0.027066,789.45,"Biomass_KG"
2009,29.976,-88.162,0.030682,0,"Biomass_KG"
2008,30.057,-87.945,0.041974,0,"Biomass_KG"
2013,30.029,-87.937,0.035212,0,"Biomass_KG"
2010,30.054,-87.91,0.024844,0,"Biomass_KG"
2011,29.901,-87.887,0.03542,0,"Biomass_KG"
2012,29.984,-87.91,0.0078911,0,"Biomass_KG"
2012,30.004,-87.896,0.032282,24.161,"Biomass_KG"
2014,29.92,-88.057,0.031853,0,"Biomass_KG"
2012,30.019,-87.903,0.033833,640.18,"Biomass_KG"
2008,29.984,-87.949,0.010911,0,"Biomass_KG"
2008,30.054,-87.742,0.046191,0,"Biomass_KG"
2009,30.051,-87.723,0.045169,1042.2,"Biomass_KG"
2010,29.909,-87.813,0.029804,91.272,"Biomass_KG"
2011,30.044,-87.524,0.036814,13.539,"Biomass_KG"
2008,29.985,-87.578,0.037893,370.81,"Biomass_KG"
2009,30.021,-87.591,0.03811,0,"Biomass_KG"
2008,29.886,-87.437,0.043496,0,"Biomass_KG"
2009,30.026,-87.521,0.041778,14.311,"Biomass_KG"
2009,30.046,-87.392,0.035186,0,"Biomass_KG"
2010,29.896,-87.383,0.030048,0,"Biomass_KG"
2009,29.937,-87.501,0.031853,0,"Biomass_KG"
2014,29.953,-87.515,0.036564,0,"Biomass_KG"
2014,29.968,-87.411,0.03386,0,"Biomass_KG"
2011,29.979,-87.282,0.03086,0,"Biomass_KG"
2011,29.997,-87.243,0.03089,0,"Biomass_KG"
2008,29.953,-87.266,0.038706,0,"Biomass_KG"
2009,29.994,-87.274,0.038277,0,"Biomass_KG"
2010,30.01,-87.277,0.040237,0,"Biomass_KG"
2010,30.001,-87.272,0.028931,0,"Biomass_KG"
2010,30.002,-87.27,0.034236,0,"Biomass_KG"
2010,29.931,-87.189,0.037747,0,"Biomass_KG"
2012,29.914,-87.25,0.02968,26.139,"Biomass_KG"
2012,29.915,-87.317,0.032479,0,"Biomass_KG"
2009,30.027,-87.311,0.036364,59.334,"Biomass_KG"
2009,29.903,-87.201,0.031709,0,"Biomass_KG"
2012,30.055,-87.341,0.026031,25.562,"Biomass_KG"
2010,29.978,-87.318,0.029057,0,"Biomass_KG"
2010,29.973,-87.329,0.030532,0,"Biomass_KG"
2010,29.972,-87.09,0.036035,0,"Biomass_KG"
2012,29.967,-87.073,0.030261,0,"Biomass_KG"
2012,29.929,-87.071,0.040554,0,"Biomass_KG"
2012,29.964,-87.051,0.034662,0,"Biomass_KG"
2013,29.985,-87.025,0.040622,0,"Biomass_KG"
2014,29.976,-87.126,0.042018,0,"Biomass_KG"
2008,30.06,-86.798,0.038134,54.208,"Biomass_KG"
2013,30.027,-86.638,0.036111,0,"Biomass_KG"
2009,29.974,-86.534,0.039825,0,"Biomass_KG"
2010,30.036,-86.566,0.040622,0,"Biomass_KG"
2010,30.031,-86.506,0.039802,0,"Biomass_KG"
2012,30.024,-86.492,0.034662,0,"Biomass_KG"
2009,29.946,-86.486,0.036439,0,"Biomass_KG"
2013,29.913,-86.537,0.028708,0,"Biomass_KG"
2012,30.017,-86.609,0.038706,0,"Biomass_KG"
2012,30.051,-86.555,0.03276,157.39,"Biomass_KG"
2009,29.944,-86.404,0.03811,362.57,"Biomass_KG"
2009,30.026,-86.376,0.040712,80.62,"Biomass_KG"
2009,30.034,-86.302,0.037161,0,"Biomass_KG"
2009,29.942,-86.397,0.039618,0,"Biomass_KG"
2012,29.951,-86.312,0.036938,0,"Biomass_KG"
2011,29.899,-86.327,0.031593,0,"Biomass_KG"
2012,29.948,-86.38,0.039035,0,"Biomass_KG"
2012,29.923,-86.278,0.03168,0,"Biomass_KG"
2010,30.006,-86.29,0.040599,0,"Biomass_KG"
2010,29.957,-86.363,0.038965,0,"Biomass_KG"
2010,29.942,-86.442,0.040191,0,"Biomass_KG"
2009,30.007,-86.41,0.032704,0,"Biomass_KG"
2014,29.94,-86.388,0.042387,0,"Biomass_KG"
2014,29.924,-86.321,0.037917,0,"Biomass_KG"
2010,30.028,-86.165,0.039455,0,"Biomass_KG"
2010,30.044,-86.091,0.037917,17.448,"Biomass_KG"
2012,29.906,-86.155,0.033424,0,"Biomass_KG"
2011,30.055,-86.236,0.031709,0,"Biomass_KG"
2009,29.891,-86.24,0.034582,103.6,"Biomass_KG"
2012,29.964,-86.198,0.034794,0,"Biomass_KG"
2012,29.934,-86.236,0.035134,0,"Biomass_KG"
2012,30.009,-86.254,0.035134,34.266,"Biomass_KG"
2011,29.992,-86.225,0.038134,0,"Biomass_KG"
2011,29.929,-86.129,0.038301,0,"Biomass_KG"
2014,29.968,-86.131,0.034925,0,"Biomass_KG"
2010,30.038,-86.073,0.039455,201.97,"Biomass_KG"
2014,30.06,-85.93,0.031156,0,"Biomass_KG"
2013,29.997,-86.046,0.035728,0,"Biomass_KG"
2012,30.016,-86.067,0.033424,0,"Biomass_KG"
2008,29.995,-85.746,0.039339,0,"Biomass_KG"
2009,29.886,-85.866,0.039059,308.75,"Biomass_KG"
2009,29.915,-85.786,0.040554,0,"Biomass_KG"
2014,30.016,-85.73,0.037431,0,"Biomass_KG"
2009,29.892,-85.715,0.033177,0,"Biomass_KG"
2009,30.008,-85.7,0.038753,55.56,"Biomass_KG"
2011,29.905,-85.569,0.033833,21.266,"Biomass_KG"
2011,29.915,-85.603,0.032592,47.244,"Biomass_KG"
2011,29.911,-85.692,0.030682,0,"Biomass_KG"
